15, 0
18, 1
17, 2
13, 3
19, 4
7, 5
15, 6
5, 7
7, 8
5, 9
39, 10
9, 11
9, 12
11, 13
11, 14
9, 15
9, 16
9, 17
9, 18
9, 19
17, 20
17, 21
22, 22
20, 23
26, 24
24, 25
22, 26
22, 27
23, 28
19, 29
12, 30
9, 31
4, 32
12, 33
12, 34
12, 35
12, 36
12, 37
12, 38
12, 39
24, 40
24, 41
24, 42
23, 43
24, 44
35, 45
31, 46
24, 47
24, 48
24, 49
14, 50
8, 51
8, 52
10, 53
7, 54
5, 55
8, 56
19, 57
8, 58
19, 59
9, 60
9, 61
9, 62
15, 63
10, 64
9, 65
9, 66
9, 67
9, 68
16, 69
25, 70
25, 71
20, 72
20, 73
20, 74
20, 75
20, 76
20, 77
20, 78
19, 79
16, 80
12, 81
12, 82
13, 83
12, 84
12, 85
12, 86
12, 87
12, 88
12, 89
21, 90
26, 91
30, 92
34, 93
28, 94
29, 95
26, 96
29, 97
27, 98
24, 99
